index,horse_id,won,y_predict,top_prediction,accuracy
63557,1343,1,0.49999895691871643,0,False
63558,2216,0,0.500001072883606,1,False
63559,2832,0,0.07142866402864456,0,False
63560,1236,0,0.07142866402864456,0,False
63561,1278,0,0.07142867147922516,0,False
63562,1121,0,0.07142841815948486,0,False
63563,1469,0,0.07142852246761322,0,False
63564,549,0,0.07142806798219681,0,False
63565,993,0,0.07142872363328934,0,False
63566,3522,0,0.0714283213019371,0,False
63567,883,0,0.0714288130402565,0,False
63568,932,1,0.07142888009548187,0,False
63569,3062,0,0.07142849266529083,0,False
63570,600,0,0.07142846286296844,0,False
63571,1857,0,0.0714290514588356,1,False
63572,1297,0,0.07142826169729233,0,False
63573,3864,0,0.0833335816860199,0,False
63574,2081,0,0.08333300799131393,0,False
63575,3140,0,0.08333365619182587,0,False
63576,1525,1,0.08333323895931244,0,False
63577,2869,0,0.08333305269479752,0,False
63578,1052,0,0.08333322405815125,0,False
63579,1467,0,0.08333366364240646,1,False
63580,2399,0,0.08333362638950348,0,False
63581,1756,0,0.08333271741867065,0,False
63582,1883,0,0.08333359658718109,0,False
63583,1028,0,0.08333320915699005,0,False
63584,2220,0,0.08333349972963333,0,False
63585,1580,0,0.24999946355819702,0,False
63586,743,0,0.2500002980232239,0,False
63587,3269,0,0.2500005066394806,1,False
63588,3504,0,0.2499997317790985,0,False
63589,168,0,0.12500005960464478,0,False
63590,2636,0,0.12499973177909851,0,False
63591,1655,0,0.12500029802322388,0,False
63592,998,0,0.12500038743019104,0,False
63593,3217,0,0.12499984353780746,0,False
63594,650,0,0.12499980628490448,0,False
63595,3644,0,0.12500019371509552,0,False
63596,4192,1,0.12499971687793732,0,False
63597,2581,0,0.08333294093608856,0,False
63598,2598,0,0.08333341032266617,0,False
63599,4114,0,0.08333351463079453,0,False
63600,2271,0,0.08333342522382736,0,False
63601,1603,0,0.0833333358168602,0,False
63602,124,0,0.08333301544189453,0,False
63603,625,1,0.08333349972963333,0,False
63604,1296,0,0.08333341032266617,0,False
63605,3208,0,0.08333363384008408,1,False
63606,729,0,0.08333344757556915,0,False
63607,4134,0,0.08333353698253632,0,False
63608,3860,0,0.08333287388086319,0,False
63609,1917,1,0.08333311229944229,0,False
63610,2589,0,0.08333338052034378,0,False
63611,1248,0,0.08333319425582886,0,False
63612,3552,0,0.08333341032266617,0,False
63613,4203,0,0.08333355188369751,0,False
63614,181,0,0.08333343267440796,0,False
63615,706,0,0.0833335593342781,0,False
63616,1014,0,0.08333251625299454,0,False
63617,3718,0,0.08333349972963333,0,False
63618,1608,0,0.0833338275551796,1,False
63619,2710,0,0.08333323150873184,0,False
63620,3363,0,0.083333320915699,0,False
63621,2681,0,0.08333314210176468,0,False
63622,2423,0,0.08333363384008408,0,False
63623,3926,0,0.08333311975002289,0,False
63624,3512,0,0.0833338052034378,0,False
63625,2082,0,0.08333256840705872,0,False
63626,3145,0,0.0833333432674408,0,False
63627,628,0,0.08333365619182587,0,False
63628,4290,0,0.08333298563957214,0,False
63629,3908,0,0.083333820104599,1,False
63630,2769,0,0.08333318680524826,0,False
63631,2403,1,0.08333329856395721,0,False
63632,1752,0,0.08333345502614975,0,False
63633,3665,0,0.08333335816860199,0,False
63634,1494,0,0.08333276212215424,0,False
63635,3028,1,0.08333315700292587,0,False
63636,963,0,0.0833335667848587,0,False
63637,1939,0,0.08333322405815125,0,False
63638,644,0,0.08333371579647064,1,False
63639,2219,0,0.08333338797092438,0,False
63640,3323,0,0.08333341777324677,0,False
63641,2186,0,0.08333326876163483,0,False
63642,3572,0,0.08333323895931244,0,False
63643,4016,0,0.083333320915699,0,False
63644,1365,0,0.08333351463079453,0,False
63645,481,0,0.12499991059303284,0,False
63646,745,0,0.125,0,False
63647,3001,0,0.12500017881393433,0,False
63648,848,0,0.12500013411045074,0,False
63649,2965,0,0.12499985843896866,0,False
63650,3972,0,0.12499986588954926,0,False
63651,3722,0,0.12499979138374329,0,False
63652,530,1,0.1250002235174179,0,False
63653,3861,0,0.2500002682209015,0,False
63654,406,0,0.2500012218952179,1,False
63655,667,0,0.24999941885471344,0,False
63656,1959,0,0.2499990612268448,0,False
63657,2886,0,0.0909089595079422,0,False
63658,985,0,0.09090910106897354,0,False
63659,2154,0,0.09090905636548996,0,False
63660,4088,0,0.09090913832187653,0,False
63661,3968,0,0.09090959280729294,1,False
63662,1290,0,0.09090930223464966,0,False
63663,2339,0,0.09090923517942429,0,False
63664,2536,1,0.09090925753116608,0,False
63665,2578,0,0.09090834856033325,0,False
63666,1787,0,0.09090905636548996,0,False
63667,2091,0,0.09090898931026459,0,False
63668,3135,0,0.071428582072258,0,False
63669,174,0,0.07142850756645203,0,False
63670,928,0,0.07142842561006546,0,False
63671,2401,0,0.07142868638038635,0,False
63672,958,1,0.07142849266529083,0,False
63673,1920,0,0.07142859697341919,0,False
63674,1285,0,0.07142877578735352,0,False
63675,1811,0,0.07142851501703262,0,False
63676,3960,0,0.07142846286296844,0,False
63677,3233,0,0.07142883539199829,0,False
63678,3973,0,0.07142828404903412,0,False
63679,637,0,0.07142836600542068,0,False
63680,2410,0,0.07142863422632217,0,False
63681,2623,0,0.07142887264490128,1,False
63682,2871,0,0.3333320617675781,0,False
63683,2903,0,0.3333345651626587,1,False
63684,3435,1,0.3333333730697632,0,False
63685,2265,0,0.0909087285399437,0,False
63686,3725,0,0.09090913832187653,0,False
63687,664,0,0.09090925008058548,0,False
63688,2135,0,0.09090898185968399,0,False
63689,3002,0,0.09090845286846161,0,False
63690,1898,0,0.09090898185968399,0,False
63691,1562,0,0.09090916812419891,0,False
63692,21,0,0.09090928733348846,0,False
63693,1316,0,0.0909092128276825,0,False
63694,3957,0,0.09090927243232727,0,False
63695,1841,0,0.0909094512462616,0,False
63696,2189,0,0.08333329111337662,0,False
63697,1799,0,0.08333314955234528,0,False
63698,126,1,0.08333347737789154,0,False
63699,35,0,0.08333280682563782,0,False
63700,2097,0,0.08333316445350647,0,False
63701,1466,0,0.08333350718021393,0,False
63702,3425,0,0.0833333283662796,0,False
63703,166,0,0.0833333283662796,0,False
63704,1038,0,0.0833335816860199,1,False
63705,1426,0,0.08333350718021393,0,False
63706,695,0,0.08333341777324677,0,False
63707,1711,0,0.08333344757556915,0,False
63708,325,1,0.11111138761043549,0,False
63709,2590,0,0.11111113429069519,0,False
63710,3401,0,0.11111082136631012,0,False
63711,653,0,0.11111129820346832,0,False
63712,2709,0,0.11111048609018326,0,False
63713,4299,0,0.1111111044883728,0,False
63714,652,0,0.11111108213663101,0,False
63715,661,0,0.11111147701740265,0,False
63716,2424,0,0.11111118644475937,0,False
63717,1003,0,0.2000005841255188,1,False
63718,3971,0,0.19999998807907104,0,False
63719,19,0,0.20000024139881134,0,False
63720,1094,0,0.1999991238117218,0,False
63721,3032,0,0.2000000923871994,0,False
63722,1538,0,0.07692325860261917,0,False
63723,3138,1,0.07692307978868484,0,False
63724,172,0,0.07692303508520126,0,False
63725,3100,0,0.07692322880029678,0,False
63726,2696,0,0.07692306488752365,0,False
63727,1753,0,0.07692311704158783,0,False
63728,2249,0,0.07692276686429977,0,False
63729,320,0,0.07692304253578186,0,False
63730,1612,0,0.07692302763462067,0,False
63731,2799,0,0.0769234150648117,1,False
63732,1446,0,0.07692306488752365,0,False
63733,3007,0,0.07692281156778336,0,False
63734,3517,0,0.07692307978868484,0,False
63735,688,0,0.07142875343561172,0,False
63736,86,0,0.07142824679613113,0,False
63737,867,0,0.07142803817987442,0,False
63738,3524,0,0.07142865657806396,0,False
63739,165,0,0.07142827659845352,0,False
63740,115,0,0.07142866402864456,0,False
63741,1541,0,0.07142865657806396,0,False
63742,3183,0,0.07142854481935501,0,False
63743,3730,0,0.07142869383096695,0,False
63744,1293,0,0.07142870128154755,0,False
63745,3974,0,0.0714285746216774,0,False
63746,1570,1,0.0714288130402565,1,True
63747,607,0,0.07142876088619232,0,False
63748,1063,0,0.07142864167690277,0,False
63749,811,0,0.0714283436536789,0,False
63750,3050,0,0.07142842561006546,0,False
63751,158,0,0.07142877578735352,0,False
63752,1333,0,0.0714285746216774,0,False
63753,3202,0,0.07142859697341919,0,False
63754,2402,0,0.07142852991819382,0,False
63755,1649,0,0.07142839580774307,0,False
63756,4024,0,0.07142883539199829,0,False
63757,512,0,0.07142871618270874,0,False
63758,966,0,0.07142876088619232,0,False
63759,85,1,0.07142887264490128,1,True
63760,3967,0,0.0714283287525177,0,False
63761,1931,0,0.07142861187458038,0,False
63762,1084,0,0.07142822444438934,0,False
63763,3863,0,0.08333345502614975,0,False
63764,2867,1,0.08333363384008408,0,False
63765,3460,0,0.08333338052034378,0,False
63766,167,0,0.08333343267440796,0,False
63767,481,0,0.08333327621221542,0,False
63768,4235,0,0.08333295583724976,0,False
63769,122,0,0.08333314955234528,0,False
63770,2404,0,0.08333291858434677,0,False
63771,2422,0,0.08333370834589005,1,False
63772,3017,0,0.08333346992731094,0,False
63773,3004,0,0.08333336561918259,0,False
63774,896,0,0.08333323895931244,0,False
63775,1844,0,0.16666731238365173,1,False
63776,1974,0,0.16666701436042786,0,False
63777,2529,0,0.16666637361049652,0,False
63778,3845,0,0.1666659414768219,0,False
63779,1574,1,0.16666659712791443,0,False
63780,2521,0,0.16666677594184875,0,False
63781,1644,0,0.12499892711639404,0,False
63782,1299,0,0.12500037252902985,0,False
63783,935,0,0.12500013411045074,0,False
63784,30,0,0.12499938160181046,0,False
63785,2960,0,0.12499988824129105,0,False
63786,3362,0,0.1250004917383194,0,False
63787,1622,0,0.1250002682209015,0,False
63788,2737,0,0.12500059604644775,0,False
63789,1889,0,0.07142844796180725,0,False
63790,1646,0,0.07142854481935501,0,False
63791,3498,0,0.07142868638038635,0,False
63792,687,0,0.0714285746216774,0,False
63793,4129,0,0.07142840325832367,0,False
63794,212,0,0.07142932713031769,1,False
63795,3503,0,0.07142878323793411,0,False
63796,4196,1,0.07142850756645203,0,False
63797,291,0,0.07142867892980576,0,False
63798,1804,0,0.07142840325832367,0,False
63799,2084,0,0.0714283436536789,0,False
63800,39,0,0.0714285746216774,0,False
63801,2702,0,0.0714283362030983,0,False
63802,2840,0,0.07142844051122665,0,False
63803,1606,0,0.10000042617321014,0,False
63804,2865,0,0.09999947994947433,0,False
63805,2086,0,0.09999961405992508,0,False
63806,3793,0,0.09999997168779373,0,False
63807,1289,0,0.09999991953372955,0,False
63808,1286,0,0.10000008344650269,0,False
63809,2382,0,0.09999938309192657,0,False
63810,2300,0,0.09999987483024597,0,False
63811,3507,0,0.10000082105398178,0,False
63812,1542,0,0.10000038892030716,0,False
63813,1997,1,0.500000536441803,1,True
63814,1641,0,0.49999943375587463,0,False
63815,660,0,0.0833333283662796,0,False
63816,3796,0,0.08333326131105423,0,False
63817,851,0,0.08333300799131393,0,False
