index,race_id,horse_id,won,y_predict,top_prediction,accuracy,win_dividend1,gains
6131,5569,3185,1,0.14900892094608303,1,True,2.15,215.0
6144,5570,2734,0,0.12097280708074114,1,False,3.65,-100.0
6159,5571,2836,1,0.13478718532890038,1,True,3.35,335.0
6174,5572,273,0,0.12288765210021134,1,False,27.7,-100.0
6179,5573,1290,1,0.13776202388537723,1,True,2.45,245.00000000000003
6199,5574,695,1,0.1393513419032913,1,True,2.2,220.00000000000003
6209,5575,1609,1,0.12335933915639148,1,True,1.9,190.0
6225,5576,2528,0,0.13452042483489923,1,False,65.9,-100.0
6232,5577,3471,0,0.12768484282443965,1,False,43.4,-100.0
6243,5578,2623,1,0.1334621750255387,1,True,3.3,330.0
6256,5579,2530,1,0.1402965932447277,1,True,2.45,245.00000000000003
6270,5580,3764,1,0.147014322725544,1,True,3.2,320.0
6288,5581,1702,1,0.14559243357766344,1,True,2.2,220.00000000000003
6299,5582,3580,0,0.13980558115978736,1,False,3.1,-100.0
6310,5583,624,0,0.14263421695924233,1,False,5.75,-100.0
6334,5584,1085,0,0.1269121862905639,1,False,6.0,-100.0
6335,5585,2401,0,0.11729475678678226,1,False,17.85,-100.0
6352,5586,1603,1,0.12282595801472075,1,True,3.35,335.0
6360,5587,2403,0,0.1384476210399881,1,False,1.8,-100.0
6371,5588,3968,0,0.12852205961746155,1,False,5.15,-100.0
6389,5589,730,0,0.13217415213812125,1,False,6.25,-100.0
6401,5590,841,0,0.127858492387032,1,False,4.35,-100.0
6408,5591,3052,0,0.13873835071556267,1,False,19.25,-100.0
6426,5592,512,1,0.14524889450469936,1,True,1.6,160.0
6441,5593,3323,0,0.129641247126128,1,False,2.4,-100.0
6446,5594,2110,1,0.11876346496830541,1,True,2.05,204.99999999999997
6457,5595,3975,0,0.1274744444167366,1,False,43.45,-100.0
6478,5596,2104,0,0.1460854278249939,1,False,10.95,-100.0
6488,5597,638,1,0.15246988123004745,1,True,1.5,150.0
6499,5598,3784,0,0.1299560573018818,1,False,5.25,-100.0
6515,5599,2879,0,0.14220951738821141,1,False,6.15,-100.0
6525,5600,4004,0,0.165117736964085,1,False,2.6,-100.0
6538,5601,3520,0,0.14147594277536207,1,False,2.35,-100.0
6551,5602,3266,0,0.13812227481277922,1,False,6.75,-100.0
6566,5603,3639,1,0.13912365236558377,1,True,2.6,260.0
6585,5604,1556,0,0.1137824560029342,1,False,6.45,-100.0
6591,5605,4192,0,0.10659891537029774,1,False,1.85,-100.0
6607,5606,2421,0,0.13320006156714465,1,False,6.95,-100.0
6621,5607,4277,0,0.12843345360547298,1,False,3.9,-100.0
6635,5608,1468,0,0.13100613112462045,1,False,2.05,-100.0
6648,5609,3109,0,0.1379276188458307,1,False,22.3,-100.0
6665,5610,1188,0,0.15207085613892823,1,False,4.65,-100.0
6678,5611,3661,0,0.1617317683929908,1,False,3.55,-100.0
6685,5612,2830,0,0.15271637404354266,1,False,10.7,-100.0
6703,5613,1021,0,0.14964163567586763,1,False,15.65,-100.0
6710,5614,2586,0,0.14537654215337054,1,False,20.7,-100.0
6726,5615,321,0,0.11936482545908685,1,False,5.1,-100.0
6742,5616,1397,0,0.13241964425367325,1,False,27.25,-100.0
6752,5617,2589,0,0.13468348169001715,1,False,7.8,-100.0
6764,5618,1248,0,0.12663664926423707,1,False,26.1,-100.0
6779,5619,273,0,0.1266465669988281,1,False,63.85,-100.0
6787,5620,2858,0,0.12672096523617704,1,False,4.15,-100.0
