race_id,horse_id,won,y_predict,rank,is_correct
5078,976,0,0.09680338929443144,11.0,False
5078,1598,0,0.8358332370521595,1.0,False
5078,1514,0,0.2325949282827503,7.0,False
5078,3673,0,0.31552239307330326,6.0,False
5078,627,1,-0.21598568551201142,12.0,False
5078,1271,0,0.32233590934778356,5.0,False
5078,833,0,-0.2356948952087923,13.0,False
5078,3751,0,0.37092843682656684,4.0,False
5078,1918,0,-0.7715089325907429,14.0,False
5078,1615,0,0.1320383546620803,9.0,False
5078,2704,0,0.509268270133597,2.0,False
5078,1751,0,0.5088980565343838,3.0,False
5078,2963,0,0.1193638346105776,10.0,False
5078,598,0,0.2025731934529333,8.0,False
5079,2912,0,0.09504274580469967,9.0,False
5079,836,0,0.11983718210949044,8.0,False
5079,1791,0,0.5931127775758247,3.0,False
5079,70,0,0.08716626771818098,10.0,False
5079,624,0,-0.4824414539844969,13.0,False
5079,690,0,0.1638458959785378,7.0,False
5079,3765,0,-0.34949003795665623,12.0,False
5079,2444,0,0.6836133424579167,2.0,False
5079,696,0,-0.4865444179432203,14.0,False
5079,2702,0,0.5019976931553575,4.0,False
5079,3462,0,0.6862892796975479,1.0,False
5079,2621,0,0.4667793796985058,5.0,False
5079,1343,1,0.4592956679339323,6.0,False
5079,2216,0,-0.04016594629652979,11.0,False
5080,2832,0,0.07452975153020466,9.0,False
5080,1236,0,0.04030406342832093,12.0,False
5080,1278,0,0.04790446158129936,11.0,False
5080,1121,0,0.3400664400643222,4.0,False
5080,1469,0,-0.3524179042485006,13.0,False
5080,549,0,0.21868694225662214,7.0,False
5080,993,0,0.5929679300964541,2.0,False
5080,3522,0,0.05433321098898346,10.0,False
5080,883,0,0.25220789620179573,6.0,False
5080,932,1,0.10652106711828481,8.0,False
5080,3062,0,0.6753319972515297,1.0,False
5080,600,0,-0.609567601601611,14.0,False
5080,1857,0,0.31864154283323104,5.0,False
5080,1297,0,0.546644450542367,3.0,False
5081,3864,0,-0.37429534909603734,11.0,False
5081,2081,0,0.0896111131614307,6.0,False
5081,3140,0,0.6548147461006822,3.0,False
5081,1525,1,-0.6152006964742547,12.0,False
5081,2869,0,0.0683385811282309,7.0,False
5081,1052,0,0.046196019855768836,8.0,False
5081,1467,0,0.796966069333151,1.0,False
5081,2399,0,0.7223053376155273,2.0,False
5081,1756,0,0.24518957895007445,5.0,False
5081,1883,0,0.2953226166029633,4.0,False
5081,1028,0,-0.0026723282338960964,9.0,False
5081,2220,0,-0.030450531352442432,10.0,False
5082,1580,0,-0.019668644891902218,8.0,False
5082,743,0,0.14999597092255912,4.0,False
5082,3269,0,-0.05356298908781063,9.0,False
5082,3504,0,0.4558227573839382,1.0,False
5082,168,0,0.11155016182330657,7.0,False
5082,2636,0,-0.41510656162829546,11.0,False
5082,1655,0,0.1390704143625494,5.0,False
5082,998,0,-0.567691439262924,12.0,False
5082,3217,0,-0.07041479195270979,10.0,False
5082,650,0,0.24038552217135076,2.0,False
5082,3644,0,0.121581870006155,6.0,False
5082,4192,1,0.19015950505666745,3.0,False
5083,2581,0,-0.35696845279670397,11.0,False
5083,2598,0,-0.3758663140728176,12.0,False
5083,4114,0,0.5157481236655157,1.0,False
5083,2271,0,0.21500930096929358,5.0,False
5083,1603,0,0.041010264058637905,8.0,False
5083,124,0,0.3438937659665673,3.0,False
5083,625,1,-0.26296167256821,9.0,False
