iter	Passed	Remaining
401	18936	28169
402	18996	28141
403	19048	28101
404	19093	28051
405	19135	27996
406	19174	27937
407	19227	27898
408	19269	27843
409	19310	27788
410	19350	27731
411	19400	27688
412	19449	27643
413	19491	27589
414	19540	27544
415	19586	27496
416	19627	27440
417	19673	27392
418	19725	27352
419	19767	27297
420	19810	27245
421	19852	27191
422	19900	27145
423	19944	27094
424	19994	27051
425	20035	26996
426	20081	26947
427	20132	26905
428	20174	26851
429	20220	26804
430	20273	26764
431	20376	26791
432	20489	26830
433	20553	26804
434	20600	26756
435	20654	26717
436	20697	26665
437	20753	26629
438	20809	26592
439	20867	26558
440	20911	26506
441	20959	26460
442	21008	26415
443	21053	26364
444	21100	26316
445	21144	26264
446	21203	26231
447	21260	26195
448	21308	26148
449	21357	26103
450	21400	26050
451	21456	26013
452	21518	25983
453	21567	25938
454	21618	25895
455	21681	25865
456	21739	25830
457	21796	25793
458	21857	25761
459	21933	25748
460	22034	25762
461	22092	25726
462	22144	25684
463	22191	25635
464	22273	25626
465	22322	25580
466	22380	25543
467	22441	25510
468	22489	25461
469	22591	25475
470	22639	25427
471	22687	25379
472	22746	25343
473	22803	25305
474	22863	25270
475	22914	25224
476	22973	25188
477	23033	25154
478	23093	25118
479	23152	25081
480	23330	25173
481	23415	25164
482	23512	25167
483	23607	25168
484	23726	25194
485	23805	25176
486	23871	25145
487	23928	25105
488	23996	25076
489	24050	25031
490	24101	24984
491	24159	24944
492	24224	24912
493	24357	24948
494	24444	24937
495	24518	24913
496	24559	24855
497	24605	24802
498	24651	24750
499	24694	24694
500	24737	24638
501	24795	24597
502	24844	24548
503	24894	24499
504	24951	24456
505	25023	24430
506	25070	24378
507	25124	24333
508	25384	24486
509	25523	24522
510	25578	24477
511	25639	24437
512	25703	24401
513	25797	24392
514	25866	24359
515	25916	24309
516	25980	24272
517	26026	24217
518	26074	24164
519	26126	24117
520	26192	24081
521	26242	24030
522	26283	23971
523	26326	23915
524	26376	23864
525	26424	23812
526	26467	23755
527	26515	23703
528	26562	23650
529	26650	23633
530	26733	23612
531	26785	23563
532	26838	23514
533	26898	23473
534	26958	23431
535	27008	23380
536	27056	23327
537	27095	23267
538	27141	23213
539	27197	23167
540	27250	23119
541	27295	23065
542	27334	23005
543	27379	22950
544	27431	22901
545	27484	22853
546	27533	22801
547	27584	22752
548	27634	22701
549	27686	22652
550	27729	22596
551	27779	22545
552	27823	22490
553	27869	22436
554	27923	22388
555	27983	22346
556	28033	22296
557	28101	22259
558	28160	22216
559	28207	22163
560	28252	22108
561	28308	22062
562	28361	22014
563	28405	21959
564	28482	21928
565	28551	21893
566	28624	21859
567	28675	21809
568	28728	21760
569	28785	21715
570	28841	21668
571	28888	21615
572	28937	21564
573	28988	21514
574	29037	21462
575	29089	21413
576	29145	21366
577	29189	21311
578	29239	21260
579	29292	21212
580	29343	21161
581	29397	21113
582	29451	21065
583	29503	21016
584	29552	20964
585	29602	20913
586	29655	20865
587	29722	20826
588	29791	20788
589	29844	20739
590	29899	20691
591	29962	20649
592	30011	20597
593	30066	20550
594	30126	20506
595	30188	20463
596	30235	20409
597	30293	20364
598	30343	20313
599	30400	20266
600	30454	20218
601	30507	20169
602	30551	20114
603	30599	20061
604	30640	20004
605	30703	19962
606	30776	19926
607	30842	19885
608	30896	19836
609	30949	19787
610	31002	19738
611	31051	19686
612	31098	19633
613	31149	19582
614	31196	19529
615	31252	19481
616	31303	19431
617	31358	19383
618	31414	19336
619	31452	19277
620	31543	19251
621	31604	19206
622	31669	19164
623	31717	19111
624	31785	19071
625	31833	19018
626	31894	18973
627	31946	18923
628	32006	18878
629	32056	18826
630	32115	18780
631	32170	18731
632	32225	18683
633	32277	18633
634	32331	18584
635	32383	18534
636	32435	18483
637	32492	18436
638	32549	18388
639	32610	18343
640	32671	18298
641	32734	18253
642	32795	18208
643	32844	18156
644	32898	18107
645	32952	18057
646	32993	18001
647	33039	17947
648	33079	17890
649	33125	17836
650	33169	17782
651	33218	17730
652	33267	17678
653	33311	17623
654	33361	17571
655	33410	17520
656	33456	17466
657	33507	17415
658	33551	17361
659	33600	17309
660	33653	17259
661	33698	17205
662	33752	17156
663	33800	17104
664	33844	17049
665	33894	16998
666	33951	16950
667	34012	16904
668	34074	16858
669	34142	16816
670	34196	16767
671	34254	16719
672	34295	16663
673	34345	16612
674	34390	16558
675	34451	16512
676	34508	16464
677	34561	16413
678	34614	16364
